Population_group,Population_Categorisation,population,TDS_FC_Code,TDS_FC_label,NumRespondents,PercentConsumers,Mean_grams_per_person_per_day,Mean_flag,Mean_SE,Mean_LCL,Mean_UCL,Mean_CV,P50,P50_flag,P50_SE,P50_LCL,P50_UCL,P50_CV,P90,P90_flag,P90_SE,P90_LCL,P90_UCL,P90_CV,P95,P95_flag,P95_SE,P95_LCL,P95_UCL,P95_CV
All people,Age Groups_(M+F),9-13 yr,GG20,tomatoes,1962,14.3,8.1,,0.9,6.34,9.86,11.11,0,,22.08,0,43.38,0,,F,,,,36.3,61.55,,7.26,47.29,75.82,11.8
All people,Age Groups_(M+F),9-13 yr,GG21,tomatoes and tomato sauce_canned,1962,15,14.25,,1.67,10.97,17.54,11.72,0,,36.38,0,71.48,0,54.96,E,12.58,30.24,79.67,22.89,101.19,,8.75,84,118.39,8.65
All people,Age Groups_(M+F),9-13 yr,GG22,spinach,1962,2.7,0.64,E,0.17,0.31,0.97,26.56,0,,388.7,0,763.7,0,0,,33.61,0,66.03,0,0,,6.12,0,12.03,0
All people,Age Groups_(M+F),9-13 yr,GG23,asparagus,1962,0.5,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,GG24,brussel sprouts,1962,0.3,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,GG26,potatoes_baked,1962,2.9,3.94,E,1.19,1.6,6.27,30.2,0,,773.27,0,1519.27,0,0,,90.32,0,177.46,0,0,,36.07,0,70.86,0
All people,Age Groups_(M+F),9-13 yr,GG27,corn chips,1962,7.5,3.31,E,0.79,1.75,4.86,23.87,0,,19.47,0,38.26,0,0,,5.85,0,11.49,0,25,E,4.85,15.47,34.53,19.4
All people,Age Groups_(M+F),9-13 yr,HH01,apple juice_canned,1962,13.2,38.73,,4.99,28.93,48.53,12.88,0,,54.75,0,107.57,0,203.38,E,47.01,111.02,295.73,23.11,,F,,,,45.71
All people,Age Groups_(M+F),9-13 yr,HH02,applesauce_canned,1962,4.9,5.7,,0.82,4.08,7.32,14.39,0,,77.79,0,152.84,0,0,,24.8,0,48.73,0,0,,18.48,0,36.32,0
All people,Age Groups_(M+F),9-13 yr,HH03,apples,1962,27,47.04,,3.23,40.69,53.4,6.87,0,,44.27,0,86.97,0,181.64,,26.13,130.3,232.98,14.39,181.95,E,49.58,84.53,279.37,27.25
All people,Age Groups_(M+F),9-13 yr,HH04,bananas,1962,20.8,22.13,,1.69,18.82,25.44,7.64,0,,42.32,0,83.15,0,114.82,E,19.77,75.98,153.66,17.22,,F,,,,39.04
All people,Age Groups_(M+F),9-13 yr,HH05,blueberries,1962,4.1,2.64,E,0.44,1.78,3.51,16.67,0,,520.27,0,1022.19,0,0,,19.67,0,38.65,0,0,,6.34,0,12.46,0
All people,Age Groups_(M+F),9-13 yr,HH06,cherries,1962,2.2,,F,,,,35.96,0,,401.5,0,788.83,0,0,,159.61,0,313.59,0,0,,64.51,0,126.74,0
All people,Age Groups_(M+F),9-13 yr,HH07,citrus fruit_raw,1962,16.3,16.25,,1.63,13.05,19.46,10.03,0,,39.93,0,78.45,0,61.05,E,11.68,38.11,83.99,19.13,129.29,,9.47,110.68,147.89,7.32
All people,Age Groups_(M+F),9-13 yr,HH08,citrus juice_frozen,1962,0.6,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,HH09,citrus juice_canned,1962,15.9,41.69,,3.4,35.01,48.38,8.16,0,,159.64,0,313.65,0,203.49,,16.54,171,235.99,8.13,276.61,,15.22,246.71,306.51,5.5
All people,Age Groups_(M+F),9-13 yr,HH10,grape juice_bottled,1962,1.4,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,HH11,grapes,1962,11.8,9.62,,1.12,7.41,11.83,11.64,0,,66.81,0,131.26,0,,F,,,,53.18,78.59,,11.33,56.33,100.84,14.42
All people,Age Groups_(M+F),9-13 yr,HH12,melons,1962,6.3,15.99,E,2.67,10.75,21.24,16.7,0,,191.48,0,376.21,0,0,,38.53,0,75.7,0,,F,,,,35.68
All people,Age Groups_(M+F),9-13 yr,HH13,peaches,1962,2.9,3.98,E,0.79,2.42,5.53,19.85,0,,601.93,0,1182.63,0,0,,48.55,0,95.39,0,0,,30.34,0,59.61,0
All people,Age Groups_(M+F),9-13 yr,HH14,pears,1962,3.8,5.62,E,0.98,3.7,7.54,17.44,0,,574.41,0,1128.56,0,0,,54.42,0,106.92,0,0,,29.89,0,58.72,0
All people,Age Groups_(M+F),9-13 yr,HH15,pineapple,1962,2.8,3.66,E,1.14,1.43,5.89,31.15,0,,2799.92,0,5501.06,0,0,,290.3,0,570.36,0,0,,88.52,0,173.92,0
All people,Age Groups_(M+F),9-13 yr,HH16,plums and prunes,1962,1.5,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,HH17,raisins,1962,1.3,,F,,,,35.29,0,,36.12,0,70.97,0,0,,16.65,0,32.71,0,0,,13.96,0,27.44,0
All people,Age Groups_(M+F),9-13 yr,HH18,raspberries,1962,3.5,,F,,,,34.98,0,,854.87,0,1679.58,0,0,,37.73,0,74.13,0,0,,6.87,0,13.5,0
All people,Age Groups_(M+F),9-13 yr,HH19,strawberries,1962,10.8,8.36,,0.95,6.49,10.24,11.36,0,,25.78,0,50.66,0,18.26,E,6,6.48,30.05,32.86,71.74,,7.57,56.87,86.61,10.55
All people,Age Groups_(M+F),9-13 yr,HH20,kiwi fruit,1962,1.8,1.26,E,0.3,0.67,1.84,23.81,0,,319.88,0,628.48,0,0,,150.09,0,294.88,0,0,,64.63,0,126.98,0
All people,Age Groups_(M+F),9-13 yr,HH21,apricot,1962,0.3,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,HH22,fruit drinks (cocktails),1962,20.5,69.54,,5.72,58.31,80.78,8.23,0,,58.83,0,115.58,0,278.88,,27.79,224.28,333.48,9.96,418.7,,25.78,368.05,469.35,6.16
All people,Age Groups_(M+F),9-13 yr,II01,cooking fats & salad oils,1962,25.2,1.92,,0.22,1.49,2.35,11.46,0,,1.34,0,2.63,0,5.8,,0.66,4.5,7.09,11.38,10.12,,1.47,7.23,13.01,14.53
All people,Age Groups_(M+F),9-13 yr,II02,margarine,1962,22.2,1.86,,0.18,1.52,2.21,9.68,0,,1.37,0,2.69,0,5.9,,0.82,4.28,7.51,13.9,10.78,,0.89,9.03,12.54,8.26
All people,Age Groups_(M+F),9-13 yr,II04,mayonnaise,1962,3.9,0.65,E,0.13,0.38,0.91,20,0,,108.35,0,212.87,0,0,,8.2,0,16.11,0,0,,2.45,0,4.81,0
All people,Age Groups_(M+F),9-13 yr,II07,salad dressing,1962,9.5,1.99,,0.23,1.55,2.43,11.56,0,,10.1,0,19.84,0,0,,2.17,0,4.26,0,15.63,,2.06,11.58,19.67,13.18
All people,Age Groups_(M+F),9-13 yr,JJ01,chocolate bars,1962,14.8,4.55,,0.57,3.44,5.66,12.53,0,,7.52,0,14.78,0,9.64,,1.55,6.58,12.69,16.08,24.23,E,5.37,13.69,34.78,22.16
All people,Age Groups_(M+F),9-13 yr,JJ03,gelatin dessert,1962,1.3,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,JJ04,honey_bottled,1962,2.1,0.39,E,0.11,0.18,0.61,28.21,0,,161.76,0,317.8,0,0,,52.85,0,103.84,0,0,,12.14,0,23.84,0
All people,Age Groups_(M+F),9-13 yr,JJ05,jams,1962,6.2,1.39,E,0.24,0.92,1.86,17.27,0,,23.93,0,47.02,0,0,,2.9,0,5.7,0,,F,,,,35.89
All people,Age Groups_(M+F),9-13 yr,JJ07,peanut butter,1962,8.8,2.27,,0.28,1.71,2.82,12.33,0,,9.05,0,17.79,0,0,,3.22,0,6.32,0,16.13,,1.75,12.69,19.56,10.85
All people,Age Groups_(M+F),9-13 yr,JJ08,puddings,1962,3.4,3.56,E,0.73,2.12,5,20.51,0,,948.52,0,1863.58,0,0,,36.22,0,71.16,0,0,,20.58,0,40.43,0
All people,Age Groups_(M+F),9-13 yr,JJ09,sugar,1962,21.1,2.37,,0.26,1.86,2.87,10.97,0,,2.17,0,4.27,0,7.53,E,1.33,4.92,10.14,17.66,16.71,,1.46,13.84,19.57,8.74
All people,Age Groups_(M+F),9-13 yr,JJ10,syrup,1962,7.8,3.16,,0.41,2.35,3.98,12.97,0,,39.64,0,77.89,0,0,,4.69,0,9.21,0,20,E,6.17,7.89,32.11,30.85
All people,Age Groups_(M+F),9-13 yr,JJ11,seeds_shelled,1962,1.7,,F,,,,33.33,0,,281.39,0,552.85,0,0,,129.48,0,254.4,0,0,,51.08,0,100.36,0
All people,Age Groups_(M+F),9-13 yr,JJ12,nuts,1962,5,0.8,E,0.19,0.44,1.17,23.75,0,,16.91,0,33.22,0,0,,1.64,0,3.23,0,,F,,,,221.88
All people,Age Groups_(M+F),9-13 yr,JJ13,chewing gum,1962,1.2,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,JJ15,candy,1962,18.2,6.04,,0.82,4.43,7.64,13.58,0,,5.02,0,9.87,0,14,E,2.94,8.23,19.77,21,32.5,,5.3,22.1,42.91,16.31
All people,Age Groups_(M+F),9-13 yr,KK01,alcoholic drinks_beer,1962,,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,KK02,alcoholic drinks_wine,1962,0.9,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,KK04,coffee,1962,2.7,2.96,E,0.85,1.28,4.63,28.72,0,,1029.89,0,2023.45,0,0,,213.61,0,419.68,0,0,,62.76,0,123.31,0
All people,Age Groups_(M+F),9-13 yr,KK05,soft drinks,1962,20.3,72.98,,6.5,60.21,85.75,8.91,0,,115.63,0,227.19,0,359.6,,23.39,313.63,405.56,6.5,421.2,,28.01,366.17,476.23,6.65
All people,Age Groups_(M+F),9-13 yr,KK06,tea,1962,12.3,39.93,,4.06,31.96,47.91,10.17,0,,111.06,0,218.2,0,190.32,E,34.34,122.85,257.79,18.04,355.45,,26.46,303.47,407.43,7.44
All people,Age Groups_(M+F),9-13 yr,KK07,plant-based beverages,1962,2,4.59,E,1.14,2.34,6.83,24.84,0,,1806.28,0,3548.84,0,0,,533.46,0,1048.09,0,0,,168.22,0,330.5,0
All people,Age Groups_(M+F),9-13 yr,LL01,cereals_mixed,1962,0.2,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,LL02,desserts,1962,,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,LL03,dinners_cereal + vegetable + meat,1962,0.2,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,LL04,dinners_meat or poultry + vegetable,1962,,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,LL05,formulae_milk base,1962,0,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,LL06,formulae_soya base,1962,,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,LL07,fruit_apple or peach,1962,0.3,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,LL08,meat_poultry or eggs,1962,,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,LL09,vegetables,1962,,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,MM01,popcorn_microwave,1962,10,3.25,,0.42,2.43,4.07,12.92,0,,14.33,0,28.16,0,0,,1.8,0,3.53,0,20.04,E,5.68,8.88,31.21,28.34
All people,Age Groups_(M+F),9-13 yr,MM02,frozen entrees,1962,0.8,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,NN01,pizza,1962,18.6,36.55,,4.01,28.66,44.44,10.97,0,,23.28,0,45.74,0,125.13,E,23.51,78.94,171.33,18.79,254,,23.63,207.58,300.42,9.3
All people,Age Groups_(M+F),9-13 yr,NN02,french fries,1962,10.9,8.83,,1.04,6.78,10.88,11.78,0,,40.62,0,79.81,0,,F,,,,43.77,75,,8.16,58.97,91.03,10.88
All people,Age Groups_(M+F),9-13 yr,NN03,hamburger,1962,7.4,16.68,,2.44,11.9,21.47,14.63,0,,154.54,0,303.63,0,0,,37.65,0,73.97,0,147.83,E,31.26,86.42,209.24,21.15
All people,Age Groups_(M+F),9-13 yr,NN04,chicken burger,1962,0.7,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,NN05,hot dogs,1962,7.4,8.99,,1.35,6.34,11.63,15.02,0,,67.64,0,132.9,0,0,,22.18,0,43.57,0,80,E,17.69,45.25,114.76,22.11
All people,Age Groups_(M+F),9-13 yr,NN06,chicken nuggets,1962,4.9,5.25,,0.77,3.72,6.77,14.67,0,,136.92,0,269,0,0,,22.94,0,45.06,0,0,,12.92,0,25.39,0
All people,Age Groups_(M+F),9-13 yr,NN07,chow mein,1962,0.2,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,NN08,fried rice,1962,1.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,NN09,prepared breakfast sandwiches,1962,1.1,1.85,E,0.6,0.68,3.02,32.43,0,,623.35,0,1224.7,0,0,,185.3,0,364.06,0,0,,131.82,0,258.99,0
All people,Age Groups_(M+F),9-13 yr,NN10,fast food sandwiches,1962,30.5,50.04,,3.55,43.08,57.01,7.09,0,,32.99,0,64.81,0,174,,8.74,156.84,191.17,5.02,225.42,,10.12,205.55,245.3,4.49
All people,Age Groups_(M+F),9-13 yr,PP01,condiments,1962,14.4,3.61,,0.51,2.61,4.62,14.13,0,,2.85,0,5.59,0,,F,,,,49.04,24.62,,3.69,17.37,31.87,14.99
All people,Age Groups_(M+F),9-13 yr,PP02,salt,1962,42.4,0.41,,0.03,0.35,0.46,7.32,0,,0.03,0,0.06,0,1.36,,0.11,1.15,1.58,8.09,2.12,,0.15,1.84,2.41,7.08
All people,Age Groups_(M+F),9-13 yr,PP03,baking powder,1962,3.3,0.04,E,0.01,0.02,0.05,25,0,,12.3,0,24.17,0,0,,1.12,0,2.21,0,0,,0.25,0,0.49,0
All people,Age Groups_(M+F),9-13 yr,PP04,yeast,1962,0.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Age Groups_(M+F),9-13 yr,PP05,vanilla extract,1962,3.5,0,,0,0,0,0,0,,1.17,0,2.29,0,0,,0.03,0,0.07,0,0,,0.01,0,0.02,0
All people,Age Groups_(M+F),9-13 yr,PP06,herbs and spices,1962,17.6,0.09,E,0.02,0.06,0.12,22.22,0,,0.07,0,0.14,0,0.13,E,0.04,0.06,0.2,30.77,,F,,,,33.33
All people,Age Groups_(M+F),9-13 yr,PP07,soya sauce,1962,5,0.45,E,0.1,0.26,0.64,22.22,0,,38.05,0,74.75,0,0,,3.04,0,5.97,0,,F,,,,219.05
All people,Age Groups_(M+F),9-13 yr,PP09,tap water_sample area,1962,74.7,492.25,,17.8,457.28,527.22,3.62,380.6,,20.25,340.81,420.39,5.32,1144.96,,34.58,1077.02,1212.91,3.02,1497.52,,100.07,1300.9,1694.14,6.68
All people,Age Groups_(M+F),9-13 yr,PP10,water_natural spring,1962,26.8,186.43,,16.53,153.95,218.9,8.87,0,,134.65,0,264.54,0,600.27,,83.58,436.06,764.48,13.92,1001.29,,100.25,804.34,1198.25,10.01
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA01,milk_whole,6339,25.5,62.39,,3.38,55.76,69.03,5.42,0,,2.11,0,4.15,0,243.96,,12.75,218.92,269,5.23,457.42,,26.46,405.43,509.42,5.78
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA02,milk_2%,6339,48.4,136.67,,4.43,127.96,145.38,3.24,0,,1.3,0,2.56,0,424.86,,14.02,397.31,452.42,3.3,600.43,,21.56,558.07,642.8,3.59
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA03,milk_1%,6339,22.2,55.94,,3.83,48.42,63.46,6.85,0,,3.04,0,5.96,0,204.36,,17.55,169.87,238.85,8.59,400.4,,33.2,335.16,465.63,8.29
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA04,milk_skim,6339,12.9,11.92,,1.29,9.38,14.46,10.82,0,,2.99,0,5.87,0,2.34,E,0.64,1.09,3.59,27.35,21.68,E,6.73,8.46,34.9,31.04
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA05,evaporated milk_canned,6339,0.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA06,cream,6339,5.9,1.92,,0.22,1.48,2.36,11.46,0,,17.79,0,34.95,0,0,,3.63,0,7.13,0,9.33,E,2.61,4.2,14.45,27.97
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA07,ice cream,6339,14.5,19.12,,1.21,16.74,21.5,6.33,0,,48.42,0,95.13,0,69.51,,7.81,54.16,84.87,11.24,119.85,,6.33,107.42,132.28,5.28
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA08,yogurt,6339,28.9,36.27,,1.39,33.55,39,3.83,0,,47,0,92.33,0,119.97,,5.49,109.18,130.75,4.58,199.42,,8.11,183.48,215.35,4.07
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA09,cheese,6339,32.4,11.92,,0.53,10.88,12.97,4.45,0,,2.71,0,5.33,0,42,,1.66,38.75,45.25,3.95,60.89,,3.14,54.72,67.06,5.16
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA10,cheese_cottage,6339,1.2,0.86,E,0.18,0.52,1.21,20.93,0,,464,0,911.63,0,0,,189.65,0,372.61,0,0,,64.25,0,126.24,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA11,cheese_processed,6339,6.2,1.57,,0.16,1.25,1.89,10.19,0,,23.68,0,46.52,0,0,,3.59,0,7.05,0,10.5,E,3.26,4.1,16.9,31.05
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA12,butter,6339,16.5,1.54,,0.09,1.35,1.72,5.84,0,,3.97,0,7.8,0,4.72,E,1.42,1.92,7.51,30.08,9.42,,0.9,7.65,11.18,9.55
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA13,chocolate milk_1%,6339,8.8,25.83,,2.21,21.49,30.16,8.56,0,,120.24,0,236.24,0,0,,50.16,0,98.56,0,250.05,,10.66,229.11,270.98,4.26
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA14,buttermilk 1%,6339,0.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB01,beef_steak,6339,6,5.05,,0.63,3.81,6.28,12.48,0,,42.46,0,83.43,0,0,,9.43,0,18.53,0,28.22,E,7.4,13.67,42.77,26.22
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB02,beef_roast,6339,3.8,2.78,,0.44,1.91,3.64,15.83,0,,144.1,0,283.11,0,0,,13.44,0,26.4,0,0,,8.76,0,17.22,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB03,beef_ground,6339,11.5,5.23,,0.42,4.41,6.04,8.03,0,,11.3,0,22.19,0,9.16,E,2.38,4.48,13.84,25.98,34.06,,3.43,27.31,40.8,10.07
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB04,pork_fresh,6339,10.4,6.77,,0.59,5.61,7.93,8.71,0,,26.43,0,51.93,0,,F,,,,39.42,46,,6.18,33.86,58.13,13.43
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB05,pork_cured,6339,7,2.41,,0.26,1.89,2.93,10.79,0,,15.82,0,31.09,0,0,,2.25,0,4.41,0,11.87,E,2.66,6.66,17.09,22.41
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB06,veal_cutlets,6339,0.4,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB07,lamb,6339,0.9,,F,,,,35.29,0,,2312.18,0,4542.78,0,0,,945.76,0,1858.16,0,0,,470.96,0,925.31,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB08,luncheon meats_cold cuts,6339,3.2,1.76,,0.27,1.22,2.3,15.34,0,,138.29,0,271.7,0,0,,13.67,0,26.85,0,0,,7.51,0,14.75,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB09,luncheon meats_canned,6339,0.2,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB10,organ meats,6339,0.2,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB11,wieners & sausages,6339,5.9,4.63,,0.53,3.58,5.68,11.45,0,,72.33,0,142.1,0,0,,9.26,0,18.19,0,19.36,E,6.18,7.23,31.5,31.92
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,CC01,eggs,6339,28.1,13.82,,0.64,12.56,15.08,4.63,0,,1.11,0,2.17,0,53.94,,2.38,49.28,58.61,4.41,91.5,,2.98,85.64,97.36,3.26
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,CC02,poultry_chicken & turkey,6339,29.7,28.43,,1.51,25.47,31.4,5.31,0,,7.43,0,14.6,0,101.25,,6.25,88.96,113.53,6.17,152.1,,6.74,138.86,165.34,4.43
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,CC03,poultry_liver pate,6339,0,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,DD01,fish_marine,6339,6.7,6.22,,0.69,4.86,7.57,11.09,0,,58.27,0,114.49,0,0,,11.12,0,21.84,0,34,E,8.6,17.11,50.89,25.29
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,DD02,fish_fresh water,6339,1.1,1.19,E,0.33,0.53,1.84,27.73,0,,1370.41,0,2692.48,0,0,,613.81,0,1205.97,0,0,,180.39,0,354.42,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,DD03,fish_canned,6339,1.7,0.68,E,0.12,0.44,0.92,17.65,0,,2310.06,0,4538.63,0,0,,193.27,0,379.72,0,0,,34.57,0,67.93,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,DD04,shellfish,6339,3.2,1.53,E,0.26,1.01,2.04,16.99,0,,126.85,0,249.22,0,0,,12.32,0,24.21,0,0,,6.66,0,13.08,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,EE01,soups_meat_canned,6339,1.4,3.53,,0.56,2.43,4.63,15.86,0,,2457.15,0,4827.61,0,0,,284.01,0,557.99,0,0,,90.43,0,177.66,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,EE02,soups_creamed_canned,6339,1.8,3.21,E,0.6,2.04,4.38,18.69,0,,4053.43,0,7963.86,0,0,,147.24,0,289.29,0,0,,49.95,0,98.14,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,EE03,soups_broth_canned,6339,10.6,12.76,,1.21,10.38,15.13,9.48,0,,47.06,0,92.46,0,,F,,,,53.43,95.5,,13.33,69.31,121.69,13.96
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,EE04,soups_dehydrated,6339,2.8,3.27,E,0.62,2.06,4.49,18.96,0,,728.22,0,1430.75,0,0,,53.05,0,104.23,0,0,,5.11,0,10.04,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF01,bread_white,6339,23.5,14.54,,0.75,13.06,16.02,5.16,0,,18.01,0,35.39,0,65.66,,3.61,58.57,72.75,5.5,71.95,,3.15,65.77,78.14,4.38
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF02,bread_whole wheat,6339,12.8,7.41,,0.45,6.52,8.31,6.07,0,,35.13,0,69.02,0,36,,3.68,28.77,43.23,10.22,63.99,,3.5,57.11,70.88,5.47
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF03,bread_rye,6339,1.8,0.74,,0.12,0.5,0.98,16.22,0,,629.19,0,1236.18,0,0,,35.44,0,69.64,0,0,,15.72,0,30.89,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF04,cake,6339,11.4,8.48,,0.7,7.1,9.85,8.25,0,,40.19,0,78.97,0,18.75,E,5.79,7.37,30.13,30.88,58,,4.53,49.09,66.91,7.81
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF05,cereal_cooked wheat,6339,0.5,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF06,cereal_corn,6339,4.4,1.36,,0.13,1.11,1.62,9.56,0,,27.82,0,54.65,0,0,,5.06,0,9.95,0,0,,4.34,0,8.53,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF07,cereals_oatmeal,6339,6.9,11.98,,1.03,9.97,14,8.6,0,,239.59,0,470.73,0,0,,22.36,0,43.93,0,121.64,,16.64,88.95,154.32,13.68
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF08,cereals_rice & bran,6339,4.7,1.39,,0.19,1.02,1.77,13.67,0,,38.97,0,76.57,0,0,,7.7,0,15.14,0,0,,2.52,0,4.95,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF09,cookies,6339,28.3,9.56,,0.4,8.76,10.35,4.18,0,,3.87,0,7.61,0,32.45,,1.36,29.78,35.11,4.19,49.37,,2.35,44.74,53.99,4.76
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF10,crackers,6339,21.8,5.96,,0.41,5.15,6.77,6.88,0,,4.92,0,9.67,0,19.71,,1.72,16.33,23.1,8.73,33,,2.4,28.29,37.71,7.27
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF11,danish_donuts & croissants,6339,7.7,6.02,,0.54,4.96,7.08,8.97,0,,70.93,0,139.36,0,0,,11.68,0,22.95,0,57,,4.7,47.77,66.23,8.25
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF12,flour_white (wheat),6339,14.8,2.79,,0.23,2.33,3.25,8.24,0,,3.88,0,7.61,0,3.99,,0.63,2.76,5.22,15.79,15.82,,2.09,11.72,19.91,13.21
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF13,muffins,6339,8,7.25,,0.59,6.09,8.41,8.14,0,,58.29,0,114.52,0,0,,11.2,0,22.01,0,56.9,,4.88,47.31,66.5,8.58
