Population_group,Population_Categorisation,population,TDS_FC_Code,TDS_FC_label,NumRespondents,PercentConsumers,Mean_grams_per_person_per_day,Mean_flag,Mean_SE,Mean_LCL,Mean_UCL,Mean_CV,P50,P50_flag,P50_SE,P50_LCL,P50_UCL,P50_CV,P90,P90_flag,P90_SE,P90_LCL,P90_UCL,P90_CV,P95,P95_flag,P95_SE,P95_LCL,P95_UCL,P95_CV
All people,Standard DRI age groups,1-3 yr,EE01,soups_meat_canned,1288,1.5,2.87,E,0.84,1.22,4.51,29.27,0,,293.05,0,575.77,0,0,,96.62,0,189.83,0,0,,70.8,0,139.11,0
All people,Standard DRI age groups,1-3 yr,EE02,soups_creamed_canned,1288,3.2,2.26,E,0.58,1.11,3.41,25.66,0,,727.34,0,1429.01,0,0,,102.97,0,202.31,0,0,,23.07,0,45.32,0
All people,Standard DRI age groups,1-3 yr,EE03,soups_broth_canned,1288,12,10.03,,1.54,6.99,13.06,15.35,0,,79.62,0,156.43,0,,F,,,,42.69,76.75,E,13.38,50.47,103.03,17.43
All people,Standard DRI age groups,1-3 yr,EE04,soups_dehydrated,1288,1.7,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,FF01,bread_white,1288,23.2,8.74,,0.91,6.95,10.53,10.41,0,,13.14,0,25.81,0,35.35,,1.61,32.19,38.51,4.55,53.51,,6.51,40.72,66.29,12.17
All people,Standard DRI age groups,1-3 yr,FF02,bread_whole wheat,1288,17.3,6.73,,0.73,5.3,8.16,10.85,0,,16.33,0,32.08,0,36,,4.14,27.86,44.14,11.5,36.02,,5.67,24.88,47.16,15.74
All people,Standard DRI age groups,1-3 yr,FF03,bread_rye,1288,3,0.77,E,0.24,0.3,1.24,31.17,0,,346.25,0,680.28,0,0,,65.68,0,129.03,0,0,,18.63,0,36.6,0
All people,Standard DRI age groups,1-3 yr,FF04,cake,1288,7.4,2.85,E,0.59,1.68,4.01,20.7,0,,44.59,0,87.61,0,0,,6.66,0,13.08,0,,F,,,,37.83
All people,Standard DRI age groups,1-3 yr,FF05,cereal_cooked wheat,1288,1.5,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,FF06,cereal_corn,1288,3.5,0.72,E,0.22,0.28,1.16,30.56,0,,262.26,0,515.26,0,0,,18.47,0,36.3,0,0,,4.49,0,8.82,0
