Code de composite (EAT_AC_Code),Description du composite alimentaire (EAT_AC_étiquette),La description des aliments inclus dans la mise en correspondance des composites
FF21,Pains_autres,"Comprends les pains pitas, les tortillas, les pains naans, les muffins anglais, les bagels et les biscuits à la poudre à pâte"
Légumes,,
GG01,Fèves au lard en conserve,Comprends tous les types de fèves au lard avec ou sans viande. Comprends les haricots frits
GG02,Haricots,"Comprends les haricots mange-tout verts/jaunes, frais, en conserve et surgelés"
GG03,Betteraves,"Comprends les betteraves fraîches, en conserve et marinées"
GG04,Brocoli,"Comprends le brocoli surgelé, cru et cuit. Inclus aussi le brocoli chinois."
GG05,Chou,"Comprends tous les types de choux (pak-choï, napa, chou rouge, chou de Chine). Inclus aussi la choucroute et le kimchi. Ne comprends pas le chou vert frisé"
GG06,Carottes,"Comprends les carottes en conserve, surgelées, crues et cuites"
GG07,Choux-fleurs,"Comprends les choux-fleurs surgelés, crus et cuits."
GG08,Céleri,
GG09,Maïs,"Comprends le maïs frais, surgelé et en conserve"
GG10,Concombres,Comprends les cornichons
GG11,Laitue,"Comprends tous les types de laitues (Boston, romaine, iceberg, laitue frisée rouge, mesclun/mélange printanier). Ne comprends aucun autre type de légumes-feuilles"
GG12,Champignons,"Comprends tous les types de champignons, en conserve, séchés, crus et cuits"
GG13,Oignons,"Comprends tous les types d’oignons, crus et cuits"
GG14,Pois,"Comprends les pois verts, les pois mange-tout, les pois frais, surgelés et en conserve"
GG15,Poivrons,"Comprends les poivrons et les piments forts, frais et marinés"
GG16,Pommes de terre bouillies,Comprends les pommes de terre bouillies avec ou sans la pelure et les pommes de terre pilées préparées à partir d’un mélange sec
GG17,Pommes de terre_croustilles,Comprends toutes les variétés de croustilles
GG18,Rutabaga,"Comprends le rutabaga et le navet frais, surgelé et mariné"
GG19,Jus de légumes en conserve,"Comprends le jus de tomate, le jus de légumes et le jus de carottes"
GG20,Tomates,Comprends les tomates fraîches
GG21,Tomates en conserve et sauces tomate en conserve,"Comprends les sauces tomates et les tomates en conserve. Comprends également la pâte de tomate, la sauce à pizza, la sauce pour pâtes à base de tomates et la sauce marinara"
GG22,Épinards,"Comprends les épinards en conserve, surgelés, crus et cuits"
GG23,Asperges,Comprends les asperges surgelées et en conserve
GG24,Choux de Bruxelles,
GG26,Pommes de terre au four,Comprends les pommes de terre au four avec ou sans la pelure et les pommes de terre rôties. 
GG27,Croustilles de maïs,"Comprends les croustilles extrudées à base de maïs, les croustilles de maïs et les coquilles à taco dures"
Fruits,,
HH01,Jus de pommes en conserve,"Comprends le jus de pomme pur à 100 %, le jus de pomme en conserve, en bouteille ou concentré et surgelé"
HH02,Compote de pommes en conserve,Comprends la compote de pommes sucrée et non sucrée ainsi que la compote de pomme avec d’autres fruits
HH03,Pommes,"Comprends les pommes crues, cuites et en conserve. Ne comprends pas les pommes séchées"
HH04,Bananes,Ne comprends pas les bananes séchées
HH05,Bleuets,"Comprends les bleuets crus, cuits, en conserve et surgelés"
HH06,Cerises,"Comprends les cerises fraîches, surgelées et en conserve"
HH07,Agrumes crus,"Comprends les clémentines, les mandarines, les oranges, les pamplemousses, la lime, le citron, crus et en conserve. Comprends le jus d’orange, de citron et de lime faits de fruits frais"
HH08,Jus d’agrumes surgelé,Comprends le jus surgelé d’orange et de pamplemousse 
HH09,Jus d’agrumes en conserve,"Comprends le jus d’orange, de citron, de lime et de pamplemousse"
HH10,Jus de raisin embouteillé,Comprends le jus en conserve et en bouteille
HH11,Raisins,Ne comprends pas les raisins secs
HH12,Melons,Comprends tous les types de melons
HH13,Pêches,"Comprends les pêches fraîches, surgelées et en conserve"
HH14,Poires,Comprends les poires fraîches et en conserve
HH15,Ananas en conserve,"Comprends les ananas frais, surgelés et en conserve. Ne comprends pas les ananas confits"
HH16,Prunes et pruneaux,"Comprends les prunes et pruneaux frais, en conserve et séchés"
HH17,Raisins secs,
HH18,Framboises,"Comprends les framboises fraîches, surgelées et en conserve"
HH19,Fraises,"Comprends les fraises fraîches, surgelées et en conserve"
HH20,Kiwis,
HH21,Abricots,"Comprends les abricots frais, surgelés, en conserve et séchés"
HH22,Boisson aux fruits (cocktails),"Comprends les boissons aux fruits, limonades et nectars en conserve, en bouteille, en poudre et en concentré surgelé"
Matières grasses et sauces,,
II01,Huiles à friture et huiles à salade,"Comprends les huiles végétales, le saindoux, le shortening et le ghee"
II02,Margarine,Comprends tous les types de margarine
II04,Mayonnaise,Comprends la mayonnaise et toutes les sauces de type mayonnaise
II07,Vinaigrette,Comprends tous les types de vinaigrettes
Grignotines et tartinades,,
JJ01,Barres de chocolat,"Comprends tous les types de barres de chocolat et les noix, raisins secs et bonbons enrobés de chocolat"
JJ03,Dessert à base de gélatine,Comprends les desserts à base de gélatines prêts-à-manger et préparés à partir d’un mélange
JJ04,Miel en bouteille,
JJ05,Confitures,"Comprends les confitures, la gelée et la marmelade"
JJ07,Beurre d’arachide,Comprends tous les types de beurres d’arachides. Ne comprends pas les autres beurres de noix
JJ08,Pouding,"Comprends tous les types de poudings, incluant ceux prêts-à-manger et préparés à partir d’un mélange"
JJ09,Sucre blanc,"Comprends le sucre blanc, le sucre brun et le sucre à glacer"
JJ10,Sirop,"Comprends tous les types de sirops de tables, de sirop de maïs et de sirop d’érable. Ne comprends pas les sirops de chocolat."
JJ11,Graines écalées,"Comprends toutes les graines. Comprends aussi le tahini, le halva et les croquettes de graines de sésame"
JJ12,Noix,"Comprends tous les types de noix, incluant les noix givrées ou pralinées et le mélange montagnard"
JJ13,Gomme à mâcher,
JJ15,Bonbons (réglisse et bonbons gélifiés),"Comprends tous les types de bonbons comme les bonbons mous et durs, les caramels anglais, les brisures au caramel écossais, les guimauves et la pâte de fruits déshydratée"
Boissons,,
KK01,Boissons alcoolisées_bières,"Comprends la bière ordinaire, légère et la bière sans alcool "
KK02,Boissons alcoolisées_vin,"Comprends le vin blanc et rouge, le vin de dessert, le vin sans alcool et la sangria"
KK04,Café,"Comprends le café infusé, instantané, ordinaire et décaféiné"
KK05,Boissons gazeuses en canette,Comprends toutes les boissons gazeuses ordinaires et diètes 
KK06,Thé,"Comprends le thé instantané, infusé et le thé glacé. Ne comprends pas les tisanes"
KK07,Boisson au soja enrichie,"Comprends tous les types de boissons à base de plantes (riz, soja, amande, noix de cajou et les boissons à la noix de coco)"
Aliments pour bébés,,
LL01,Céréales mélangées,"Comprends les céréales de blé, d’orge, d’avoine, de riz, de soja et de grains mélangés"
,,Y compris les mélanges de céréales avec des fruits
LL02,Desserts,Comprends les desserts de types purées de fruits. Ne comprends pas les fruits purs
LL03,Repas_céréale + légume + viande,"Comprends les repas faits avec des grains, des légumes et de la viande (bœuf, poulet ou dinde)"
LL04,Repas_viande ou volaille + légumes,"Comprends les repas faits avec de la viande (bœuf, poulet ou dinde) et des légumes"
LL05,Préparation pour nourrissons à base de lait,Tous les types de préparations pour nourrissons à base de lait
LL06,Préparation pour nourrissons à base de soja,Tous les types de préparations pour nourrissons à base de soja
LL07,Fruits_pommes ou pêche,Comprends tous les types de fruits
LL08,Viande_volaille ou œufs,Comprends tous les types de viande et de volaille
LL09,Légumes,Comprends tous les types de légumes
Aliments allant au four à micro-ondes,,
MM01,Maïs soufflé pour micro-ondes,"Comprend le maïs soufflé allant au four à micro-ondes, le maïs soufflé prêt-à-manger ainsi que le maïs soufflé nature et aromatisé"
MM02,Repas surgelés,Comprends tous les types de repas surgelés
Repas-minute,,
