Food Name,Sample Code,Product Description,Food Group,Product Net Quantity,Product Net Quantity Unit,Province/Territory of Origin,Country of Origin,Best Before Date,Production Date,Intended Use,Method of Production,Physico-chemical,Sample Type,Sub Sample,Sample Comments,Packaging Type,Packaging Material,Packaging Condition,More Sample Info 1,More Sample Info 2,Sample Collection Date,Reason Collected,Human Illness Flag,Sampling Location Type,Sampling Location City Name,Sampling Location Province,Sampling Location Country,Result Operator,Result Value,Units of measurement,Analyte Name,Analyte Group,LOD,LOQ,MDL,% Recovery,Basis for Result,Quality Assurance,Result Comments,Lab Name,Analysis Completion Date,Test Method Name,Test Method Code,Instrumentation,Method Comments,Project Code,Project Name,Project Description,Organization
"Milk, Skimmed",TDS2023-AA04-Radionuclide,"AA04 Milk, skim",Milk,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2023-11-01,Surveillance,No,Grocery Store,Toronto,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Cesium-137,Radionuclides,,,0.774,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2025-02-19,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2023.Radionuclides,Total Diet Study 2023 Radionuclides,,Health Canada
"Milk, Skimmed",TDS2023-AA04-Radionuclide,"AA04 Milk, skim",Milk,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2023-11-01,Surveillance,No,Grocery Store,Toronto,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Iodine-131,Radionuclides,,,0.618,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2025-02-19,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2023.Radionuclides,Total Diet Study 2023 Radionuclides,,Health Canada
"Milk, Skimmed",TDS2023-AA04-Radionuclide,"AA04 Milk, skim",Milk,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2023-11-01,Surveillance,No,Grocery Store,Toronto,Ontario,Canada,=,48.05,Bq/Kg,Potassium-40,Radionuclides,,,14.3,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2025-02-19,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2023.Radionuclides,Total Diet Study 2023 Radionuclides,,Health Canada
"Milk, Skimmed",TDS2023-AA04-Radionuclide,"AA04 Milk, skim",Milk,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2023-11-01,Surveillance,No,Grocery Store,Toronto,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Lead-210,Radionuclides,,,6.34,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2025-02-19,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2023.Radionuclides,Total Diet Study 2023 Radionuclides,,Health Canada
"Milk, Evaporated",TDS2023-AA05-Radionuclide,"AA05 Milk, Evaporated",Condensed milk (plain),,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2023-11-01,Surveillance,No,Grocery Store,Toronto,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Americium-241,Radionuclides,,,0.741,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2025-02-19,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2023.Radionuclides,Total Diet Study 2023 Radionuclides,,Health Canada
"Milk, Evaporated",TDS2023-AA05-Radionuclide,"AA05 Milk, Evaporated",Condensed milk (plain),,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2023-11-01,Surveillance,No,Grocery Store,Toronto,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Cesium-134,Radionuclides,,,0.77,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2025-02-19,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2023.Radionuclides,Total Diet Study 2023 Radionuclides,,Health Canada
"Milk, Evaporated",TDS2023-AA05-Radionuclide,"AA05 Milk, Evaporated",Condensed milk (plain),,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2023-11-01,Surveillance,No,Grocery Store,Toronto,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Cesium-137,Radionuclides,,,0.881,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2025-02-19,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2023.Radionuclides,Total Diet Study 2023 Radionuclides,,Health Canada
"Milk, Evaporated",TDS2023-AA05-Radionuclide,"AA05 Milk, Evaporated",Condensed milk (plain),,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2023-11-01,Surveillance,No,Grocery Store,Toronto,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Iodine-131,Radionuclides,,,0.645,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2025-02-19,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2023.Radionuclides,Total Diet Study 2023 Radionuclides,,Health Canada
"Milk, Evaporated",TDS2023-AA05-Radionuclide,"AA05 Milk, Evaporated",Condensed milk (plain),,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2023-11-01,Surveillance,No,Grocery Store,Toronto,Ontario,Canada,=,70.8,Bq/Kg,Potassium-40,Radionuclides,,,13.4,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2025-02-19,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2023.Radionuclides,Total Diet Study 2023 Radionuclides,,Health Canada
"Milk, Evaporated",TDS2023-AA05-Radionuclide,"AA05 Milk, Evaporated",Condensed milk (plain),,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2023-11-01,Surveillance,No,Grocery Store,Toronto,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Lead-210,Radionuclides,,,7.3,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2025-02-19,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2023.Radionuclides,Total Diet Study 2023 Radionuclides,,Health Canada
