Nom de l'aliment,Code de l'échantillon,Description du produit,Groupe d'aliment,Quantité nette du produit,Unité de quantité nette du produit,Province/territoire d'origine,Pays d'origine,Date de péremption,Date de production,Utilisation prévue,Méthode de production,Physicochimique,Type d'échantillon,Sous-échantillon,Commentaires relatifs aux échantillons,Type d'emballage,Matériaux d'emballage,Condition d'emballage,Plus d'infos sur l'échantillon 1,Plus d'infos sur l'échantillon 2,Date de l'échantillonnage,Raison de l'échantillonnage,Code d'indication de maladie humaine,Type de Point d'échantillonnage,Nom de la ville du Point d'échantillonnage,Province du Point d'échantillonnage,Pays du Point d'échantillonnage,Opérateur des résultats quantitatifs,Valeur du résultat,Unités de mesure,Nom de l'analyte,Groupe de l'analyte,Limite de détection,Limite de quantification,Limite de détection de la méthode,Récupération (%),Base de résultat,Assurance de la qualité,Commentaires sur le résultat,Nom du laboratoire,Date de la fin de l'analyse,Nom de la méthode d'essai,Code de la méthode d'essai,Instrumentation,Commentaires sur la méthode,Code du projet,Nom du projet,Description du projet,Organisation
"Préparations nourrissons, Prêt à boire, lait, 0-12",TDS2021-LL05-Radionuclide,"LL05 Formulae, milk base (Infant Formula, milk)/Préparation pour nourrissons à base de lait",A base de lait,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,=,14.78235,Bq/Kg,Potassium - 40,Radionucléides ,,,11.7,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Préparations nourrissons, Prêt à boire, lait, 0-12",TDS2021-LL05-Radionuclide,"LL05 Formulae, milk base (Infant Formula, milk)/Préparation pour nourrissons à base de lait",A base de lait,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,iode - 131,Radionucléides ,,,0.617,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Préparations nourrissons, Prêt à boire, soja, 0-12",TDS2021-LL06-Radionuclide,"LL06 Formulae, soya base (Infant Formula, soya)/Préparation pour nourrissons à base de soya",A base de soya,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Américium - 241,Radionucléides ,,,0.709,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Préparations nourrissons, Prêt à boire, soja, 0-12",TDS2021-LL06-Radionuclide,"LL06 Formulae, soya base (Infant Formula, soya)/Préparation pour nourrissons à base de soya",A base de soya,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Césium - 134,Radionucléides ,,,0.702,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Préparations nourrissons, Prêt à boire, soja, 0-12",TDS2021-LL06-Radionuclide,"LL06 Formulae, soya base (Infant Formula, soya)/Préparation pour nourrissons à base de soya",A base de soya,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Césium - 137,Radionucléides ,,,0.844,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Préparations nourrissons, Prêt à boire, soja, 0-12",TDS2021-LL06-Radionuclide,"LL06 Formulae, soya base (Infant Formula, soya)/Préparation pour nourrissons à base de soya",A base de soya,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,FR Lead-210,Radionucléides ,,,6.86,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Préparations nourrissons, Prêt à boire, soja, 0-12",TDS2021-LL06-Radionuclide,"LL06 Formulae, soya base (Infant Formula, soya)/Préparation pour nourrissons à base de soya",A base de soya,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,=,20.77998,Bq/Kg,Potassium - 40,Radionucléides ,,,12.4,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Préparations nourrissons, Prêt à boire, soja, 0-12",TDS2021-LL06-Radionuclide,"LL06 Formulae, soya base (Infant Formula, soya)/Préparation pour nourrissons à base de soya",A base de soya,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,iode - 131,Radionucléides ,,,0.644,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Pâtes, nature",TDS2021-FF16-Radionuclide,"FF16 Pasta, plain/Pâtes nature",Pâtes et nouilles sèches précuites et autres produits semblables,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Américium - 241,Radionucléides ,,,0.718,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Pâtes, nature",TDS2021-FF16-Radionuclide,"FF16 Pasta, plain/Pâtes nature",Pâtes et nouilles sèches précuites et autres produits semblables,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Césium - 134,Radionucléides ,,,0.846,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
